Symbol,AtomicNumber,Group,MetalBOOL,NonmetalBOOL,MetalloidBOOL,Electronegativity,NumberofValence
H,1,1,0,1,0,2.2,1
He,2,18,0,1,0,0,0
Li,3,1,1,0,0,0.98,1
Be,4,2,1,0,0,1.57,2
B,5,13,0,0,1,2.04,3
C,6,14,0,1,0,2.55,4
N,7,15,0,1,0,3.04,5
O,8,16,0,1,0,3.44,6
F,9,17,0,1,0,3.98,7
Ne,10,18,0,1,0,0,8
Na,11,1,1,0,0,0.93,1
Mg,12,2,1,0,0,1.31,2
Al,13,13,1,0,0,1.61,3
Si,14,14,0,0,1,1.9,4
P,15,15,0,1,0,2.19,5
S,16,16,0,1,0,2.58,6
Cl,17,17,0,1,0,3.16,7
Ar,18,18,0,1,0,0,8
K,19,1,1,0,0,0.82,1
Ca,20,2,1,0,0,1,2
Sc,21,3,1,0,0,1.36,2
Ti,22,4,1,0,0,1.54,2
V,23,5,1,0,0,1.63,2
Cr,24,6,1,0,0,1.66,1
Mn,25,7,1,0,0,1.55,2
Fe,26,8,1,0,0,1.83,2
Co,27,9,1,0,0,1.88,2
Ni,28,10,1,0,0,1.91,2
Cu,29,11,1,0,0,1.9,1
Zn,30,12,1,0,0,1.65,2
Ga,31,13,1,0,0,1.81,3
Ge,32,14,0,0,1,2.01,4
As,33,15,0,0,1,2.18,5
Se,34,16,0,1,0,2.55,6
Br,35,17,0,1,0,2.96,7
Kr,36,18,0,1,0,0,8
Rb,37,1,1,0,0,0.82,1
Sr,38,2,1,0,0,0.95,2
Y,39,3,1,0,0,1.22,2
Zr,40,4,1,0,0,1.33,2
Nb,41,5,1,0,0,1.6,1
Mo,42,6,1,0,0,2.16,1
Tc,43,7,1,0,0,1.9,2
Ru,44,8,1,0,0,2.2,1
Rh,45,9,1,0,0,2.28,1
Pd,46,10,1,0,0,2.2,0
Ag,47,11,1,0,0,1.93,1
Cd,48,12,1,0,0,1.69,2
In,49,13,1,0,0,1.78,3
Sn,50,14,1,0,0,1.96,4
Sb,51,15,0,0,1,2.05,5
Te,52,16,0,0,1,2.1,6
I,53,17,0,1,0,2.66,7
Xe,54,18,0,1,0,0,8
Cs,55,1,1,0,0,0.79,1
Ba,56,2,1,0,0,0.89,2
La,57,3,1,0,0,1.1,2
Ce,58,3,1,0,0,1.12,2
Pr,59,3,1,0,0,1.13,2
Nd,60,3,1,0,0,1.14,2
Pm,61,3,1,0,0,1.13,2
Sm,62,3,1,0,0,1.17,2
Eu,63,3,1,0,0,1.2,2
Gd,64,3,1,0,0,1.2,2
Tb,65,3,1,0,0,1.2,2
Dy,66,3,1,0,0,1.22,2
Ho,67,3,1,0,0,1.23,2
Er,68,3,1,0,0,1.24,2
Tm,69,3,1,0,0,1.25,2
Yb,70,3,1,0,0,1.1,2
Lu,71,3,1,0,0,1.27,2
Hf,72,4,1,0,0,1.3,2
Ta,73,5,1,0,0,1.5,2
W,74,6,1,0,0,2.36,2
Re,75,7,1,0,0,1.9,2
Os,76,8,1,0,0,2.2,2
Ir,77,9,1,0,0,2.2,2
Pt,78,10,1,0,0,2.28,1
Au,79,11,1,0,0,2.54,1
Hg,80,12,1,0,0,2,2
Tl,81,13,1,0,0,2.04,3
Pb,82,14,1,0,0,2.33,4
Bi,83,15,1,0,0,2.02,5
Po,84,16,0,0,1,2,6
At,85,17,0,1,0,2.2,7
Rn,86,18,1,0,0,0,8
Fr,87,1,1,0,0,0.7,1
Ra,88,2,1,0,0,0.9,2
Ac,89,3,1,0,0,1.1,2
Th,90,3,1,0,0,1.3,2
Pa,91,3,1,0,0,1.5,2
U,92,3,1,0,0,1.38,2
Np,93,3,1,0,0,1.36,2
Pu,94,3,1,0,0,1.28,2
Am,95,3,1,0,0,1.3,2
Cm,96,3,1,0,0,1.3,2
Bk,97,3,1,0,0,1.3,2
Cf,98,3,1,0,0,1.3,2
Es,99,3,1,0,0,1.3,2
Fm,100,3,1,0,0,1.3,2
Md,101,3,1,0,0,1.3,2
No,102,3,1,0,0,1.3,2
Lr,103,3,1,0,0,0,3
Rf,104,4,1,0,0,0,2
Db,105,5,1,0,0,0,2
Sg,106,6,1,0,0,0,2
Bh,107,7,1,0,0,0,2
Hs,108,8,1,0,0,0,2
Mt,109,9,1,0,0,0,2
Ds ,110,10,1,0,0,0,1
Rg ,111,11,1,0,0,0,1
Cn ,112,12,1,0,0,0,2
Nh,113,13,1,0,0,0,3
Fl,114,14,1,0,0,0,4
Mc,115,15,1,0,0,0,5
Lv,116,16,1,0,0,0,6
Ts,117,17,0,1,0,0,7
Og,118,18,0,1,0,0,8
